time,temperature
2025-10-31T08:52:16.309385+1,25.71,
2025-10-31T08:59:00.437059+1,26.19,
2025-10-31T08:59:03.913493+1,26.19,
2025-10-31T08:59:12.859136+1,26.22,
2025-10-31T09:09:52.907422+1,26.36,
2025-10-31T09:10:03.833466+1,26.37,
2025-10-31T09:34:26.876651+1,37.22,
2025-10-31T09:40:15.852547+1,37.44,
2025-10-31T09:43:06.598656+1,37.53,
2025-10-31T09:46:00.746800+1,37.54,
2025-10-31T09:58:44.706533+1,36.87,
2025-10-31T10:00:15.507660+1,36.88,
2025-10-31T10:02:25.517227+1,36.77,
2025-10-31T10:04:41.250448+1,36.85,
2025-10-31T10:07:25.203192+1,36.78,
2025-10-31T10:07:34.219927+1,36.77,
2025-10-31T10:07:38.013394+1,36.78,
2025-10-31T10:17:53.193262+1,36.79,
2025-10-31T10:18:01.161225+1,36.79,
2025-10-31T10:22:28.276656+1,36.75,
2025-10-31T10:27:19.291084+1,36.83,
2025-10-31T10:33:31.711201+1,37.1,
2025-10-31T10:43:47.987420+1,37.43,
2025-10-31T10:43:53.247589+1,37.43,
2025-10-31T10:43:55.984197+1,37.42,
2025-10-31T10:48:13.373347+1,37.47,
2025-10-31T10:52:45.858937+1,37.51,
2025-10-31T11:03:53.346538+1,37.3,
2025-10-31T11:08:03.497923+1,32.71,
